id,date,time,direction,motorcycle,car,bus,truck
179,2023-09-02,18:15,JalanPRamlee,,,,
180,2023-09-02,18:15,JalanPenang,,,,
181,2023-09-02,18:30,stadium,,,,
182,2023-09-02,18:30,JalanPerak,,,,
183,2023-09-02,18:30,JalanPRamlee,,,,
184,2023-09-02,18:30,JalanPenang,,,,
185,2023-09-03,07:00,stadium,,,,
186,2023-09-03,07:00,JalanPerak,,,,
187,2023-09-03,07:00,JalanPRamlee,,,,
188,2023-09-03,07:00,JalanPenang,,,,
189,2023-09-03,07:15,stadium,,,,
190,2023-09-03,07:15,JalanPerak,,,,
191,2023-09-03,07:15,JalanPRamlee,,,,
192,2023-09-03,07:15,JalanPenang,,,,
193,2023-09-03,07:30,stadium,,,,
194,2023-09-03,07:30,JalanPerak,,,,
195,2023-09-03,07:30,JalanPRamlee,,,,
196,2023-09-03,07:30,JalanPenang,,,,
197,2023-09-03,07:45,stadium,,,,
198,2023-09-03,07:45,JalanPerak,,,,
199,2023-09-03,07:45,JalanPRamlee,,,,
200,2023-09-03,07:45,JalanPenang,,,,
201,2023-09-03,08:00,stadium,,,,
202,2023-09-03,08:00,JalanPerak,,,,
203,2023-09-03,08:00,JalanPRamlee,,,,
204,2023-09-03,08:00,JalanPenang,,,,
205,2023-09-03,08:15,stadium,,,,
206,2023-09-03,08:15,JalanPerak,,,,
207,2023-09-03,08:15,JalanPRamlee,,,,
208,2023-09-03,08:15,JalanPenang,,,,
209,2023-09-03,08:30,stadium,,,,
210,2023-09-03,08:30,JalanPerak,,,,
211,2023-09-03,08:30,JalanPRamlee,,,,
212,2023-09-03,08:30,JalanPenang,,,,
213,2023-09-03,08:45,stadium,,,,
214,2023-09-03,08:45,JalanPerak,,,,
215,2023-09-03,08:45,JalanPRamlee,,,,
216,2023-09-03,08:45,JalanPenang,,,,
217,2023-09-03,12:00,stadium,,,,
218,2023-09-03,12:00,JalanPerak,,,,
219,2023-09-03,12:00,JalanPRamlee,,,,
220,2023-09-03,12:00,JalanPenang,,,,
221,2023-09-03,12:15,stadium,,,,
222,2023-09-03,12:15,JalanPerak,,,,
223,2023-09-03,12:15,JalanPRamlee,,,,
224,2023-09-03,12:15,JalanPenang,,,,
225,2023-09-03,12:30,stadium,,,,
226,2023-09-03,12:30,JalanPerak,,,,
227,2023-09-03,12:30,JalanPRamlee,,,,
228,2023-09-03,12:30,JalanPenang,,,,
229,2023-09-03,12:45,stadium,,,,
230,2023-09-03,12:45,JalanPerak,,,,
231,2023-09-03,12:45,JalanPRamlee,,,,
232,2023-09-03,12:45,JalanPenang,,,,
233,2023-09-03,13:00,stadium,,,,
234,2023-09-03,13:00,JalanPerak,,,,
235,2023-09-03,13:00,JalanPRamlee,,,,
236,2023-09-03,13:00,JalanPenang,,,,
237,2023-09-03,13:15,stadium,,,,
238,2023-09-03,13:15,JalanPerak,,,,
239,2023-09-03,13:15,JalanPRamlee,,,,
240,2023-09-03,13:15,JalanPenang,,,,
241,2023-09-03,13:30,stadium,,,,
242,2023-09-03,13:30,JalanPerak,,,,
243,2023-09-03,13:30,JalanPRamlee,,,,
244,2023-09-03,13:30,JalanPenang,,,,
245,2023-09-03,13:45,stadium,,,,
246,2023-09-03,13:45,JalanPerak,,,,
247,2023-09-03,13:45,JalanPRamlee,,,,
248,2023-09-03,13:45,JalanPenang,,,,
249,2023-09-03,17:00,stadium,,,,
250,2023-09-03,17:00,JalanPerak,,,,
251,2023-09-03,17:00,JalanPRamlee,,,,
252,2023-09-03,17:00,JalanPenang,,,,
